N,Bubble Sort (Tempo),Bubble Sort (Operacoes),Bubble Sort Otimizado (Tempo),Bubble Sort Otimizado (Operacoes),Insertion Sort (Tempo),Insertion Sort (Operacoes),Merge Sort (Tempo),Merge Sort (Operacoes),Quick Sort (Tempo),Quick Sort (Operacoes)
1000,5,757163,5,756497,2,258662,0,28088,0,15713
2000,3,2987776,2,2986450,2,990775,0,62093,0,38563
3000,6,6742750,6,6741475,1,2247249,0,99056,0,66122
4000,12,11940645,13,11933975,2,3946644,0,136163,0,85313
5000,17,18790907,20,18789254,3,6298406,0,175982,0,114575
6000,23,27076737,26,27075656,4,9085736,0,216268,0,124920
7000,31,36742940,36,36740014,6,12253439,0,256199,0,146724
8000,42,48009377,49,47996011,8,16021376,0,296152,0,180028
9000,58,60793511,68,60784865,10,20307010,0,339077,0,218173
10000,86,75056096,85,75027655,12,25071095,1,382244,0,231085
11000,124,90792108,109,90772605,14,30308607,0,425473,0,268638
12000,165,108242522,142,108239672,21,36260521,1,468447,0,286902
13000,206,126906824,171,126894578,20,42426323,1,511421,0,302147
14000,247,146653089,210,146643078,23,48674088,1,554598,0,331337
15000,291,169151153,246,169142897,27,56673652,1,597565,0,385145
16000,339,191729737,301,191714686,31,63753736,1,640523,0,395410
17000,393,216942602,351,216940949,35,72468101,1,685703,0,422576
18000,446,243947937,419,243947747,42,81974936,1,732054,1,425917
19000,510,270267559,466,270226518,44,89796058,1,778248,1,451187
20000,563,299546648,523,299529070,49,99576647,1,824495,1,516261
21000,626,330756762,584,330734184,54,110288261,2,870794,1,535393
22000,709,363122629,660,363107923,59,121155628,2,916670,1,592603
23000,773,397247478,732,397239222,65,132781977,2,962873,1,605359
24000,840,429984764,822,429911993,70,142020763,2,1008767,1,641855
25000,927,468474506,894,468459106,76,156012005,2,1054793,1,655437
26000,1000,506999883,977,506968257,83,169038882,2,1101060,1,653294
27000,1096,547237502,1066,547174667,89,182778001,2,1147270,1,685300
28000,1178,588980339,1152,588882436,98,197022338,2,1193311,1,845505
29000,1276,630636129,1248,630584769,103,210179628,3,1239016,1,791469
30000,1359,676449058,1331,676366843,112,226494057,2,1285411,1,772664
31000,1453,722431364,1441,722389169,118,241977863,3,1331286,1,812612
32000,1565,767871988,1541,767848117,125,255919987,3,1377229,2,873780
33000,1658,815310730,1661,815186977,133,270860229,3,1423699,1,858422
34000,1762,866263722,1771,866226866,141,288314721,3,1473243,2,884304
35000,1881,918110182,1874,918093162,151,305662681,3,1522586,2,966043
36000,1985,971811075,2012,971580894,158,323865074,3,1571731,2,913741
37000,2114,1027576452,2118,1027547532,168,343131951,3,1621314,2,1021695
38000,2227,1080978372,2273,1080962262,176,359035371,3,1670670,2,1050956
39000,2357,1138340438,2379,1138311758,184,377898937,3,1719570,2,1058562
40000,2482,1200053393,2536,1199981762,196,400113392,3,1768494,2,1172866
41000,2589,1258249466,2645,1258192175,204,417810965,4,1818030,2,1141921
42000,2750,1321999912,2800,1321984861,215,440062911,4,1867385,2,1154410
43000,2868,1388607437,2916,1388602972,227,464171936,4,1916537,2,1162316
44000,3005,1453790406,3078,1453743435,238,485856405,4,1965377,2,1181509
45000,3151,1518970600,3232,1518891597,247,506538099,4,2014525,2,1392638
46000,3286,1584750504,3353,1584708888,258,526819503,4,2063711,2,1256322
47000,3450,1655104326,3536,1655067741,270,550674825,4,2112499,2,1373436
48000,3593,1729898175,3672,1729833555,293,577970174,4,2161151,2,1307429
49000,3769,1801343724,3935,1801336098,309,600917223,5,2209770,3,1416131
50000,3970,1875811221,4106,1875810401,311,625886220,5,2259395,3,1323499
